ADC_filtered,ADC_diff,current,charging_time,time
734, -1, 16, 8.00, 30331576
734, 0, 16, 8.00, 30343636
734, 0, 16, 8.00, 30355644
734, 0, 16, 8.00, 30367656
734, 0, 16, 8.00, 30379652
733, -1, 16, 8.00, 30391652
733, 0, 16, 8.00, 30403720
732, -1, 16, 8.00, 30425816
732, 0, 16, 8.00, 30437808
732, 0, 16, 8.00, 30449756
732, 0, 16, 8.00, 30464404
731, -1, 16, 8.00, 30476412
731, 0, 16, 8.00, 30488404
731, 0, 16, 8.00, 30500328
730, -1, 16, 8.00, 30512208
731, 1, 16, 8.00, 30524196
730, -1, 16, 8.00, 30536132
731, 1, 16, 8.00, 30548064
730, -1, 16, 8.00, 30560076
731, 1, 16, 8.00, 30572060
730, -1, 16, 8.00, 30583996
729, -1, 16, 8.00, 30595996
730, 1, 16, 8.00, 30608052
729, -1, 16, 8.00, 30619992
729, 0, 16, 8.00, 30631916
729, 0, 16, 8.00, 30643856
729, 0, 16, 8.00, 30655728
728, -1, 16, 8.00, 30667668
728, 0, 16, 8.00, 30682308
728, 0, 16, 8.00, 30694248
728, 0, 16, 8.00, 30706176
728, 0, 16, 8.00, 30718112
728, 0, 16, 8.00, 30730052
728, 0, 16, 8.00, 30741988
727, -1, 16, 8.00, 30753928
727, 0, 16, 8.00, 30765924
727, 0, 16, 8.00, 30777844
726, -1, 16, 8.00, 30789772
727, 1, 16, 8.00, 30801768
726, -1, 16, 8.00, 30813628
726, 0, 16, 8.00, 30825624
726, 0, 16, 8.00, 30837556
726, 0, 16, 8.00, 30849492
726, 0, 16, 8.00, 30861428
725, -1, 16, 8.00, 30873368
725, 0, 16, 8.00, 30885360
726, 1, 16, 8.00, 30900004
726, 0, 16, 8.00, 30911936
725, -1, 16, 8.00, 30923880
725, 0, 16, 8.00, 30935864
725, 0, 16, 8.00, 30947804
725, 0, 16, 8.00, 30959748
725, 0, 16, 8.00, 30971676
725, 0, 16, 8.00, 30983608
727, 2, 16, 8.00, 30995560
736, 9, 16, 8.00, 31007504
741, 5, 16, 8.00, 31019380
741, 0, 16, 8.00, 31031328
740, -1, 16, 8.00, 31043268
739, -1, 16, 8.00, 31055256
758, 19, 16, 8.00, 31073992
800, 42, 16, 8.00, 31086024
844, 44, 16, 8.00, 31097984
838, -6, 16, 8.00, 31110016
827, -11, 16, 8.00, 31124640
802, -25, 16, 8.00, 31136800
792, -10, 16, 8.00, 31148816
787, -5, 16, 8.00, 31160892
782, -5, 16, 8.00, 31172892
778, -4, 16, 8.00, 31184904
773, -5, 16, 8.00, 31196844
768, -5, 16, 8.00, 31208840
766, -2, 16, 8.00, 31220908
764, -2, 16, 8.00, 31232896
764, 0, 16, 8.00, 31244872
760, -4, 16, 8.00, 31256808
759, -1, 16, 8.00, 31268800
759, 0, 16, 8.00, 31280796
757, -2, 16, 8.00, 31292732
756, -1, 16, 8.00, 31304736
756, 0, 16, 8.00, 31316792
756, 0, 16, 8.00, 31328792
755, -1, 16, 8.00, 31343468
752, -3, 16, 8.00, 31355520
753, 1, 16, 8.00, 31367572
753, 0, 16, 8.00, 31379516
752, -1, 16, 8.00, 31391460
750, -2, 16, 8.00, 31403380
751, 1, 16, 8.00, 31415312
749, -2, 16, 8.00, 31427252
749, 0, 16, 8.00, 31439244
749, 0, 16, 8.00, 31457952
748, -1, 16, 8.00, 31469816
748, 0, 16, 8.00, 31481800
747, -1, 16, 8.00, 31493728
747, 0, 16, 8.00, 31505648
747, 0, 16, 8.00, 31517524
746, -1, 16, 8.00, 31529392
745, -1, 16, 8.00, 31541324
746, 1, 16, 8.00, 31553384
745, -1, 16, 8.00, 31567976
744, -1, 16, 8.00, 31580032
744, 0, 16, 8.00, 31591948
744, 0, 16, 8.00, 31603956
743, -1, 16, 8.00, 31615892
744, 1, 16, 8.00, 31627944
743, -1, 16, 8.00, 31639820
743, 0, 16, 8.00, 31651744
743, 0, 16, 8.00, 31663604
742, -1, 16, 8.00, 31675540
743, 1, 16, 8.00, 31687456
742, -1, 16, 8.00, 31699324
741, -1, 16, 8.00, 31711328
742, 1, 16, 8.00, 31723260
741, -1, 16, 8.00, 31735128
741, 0, 16, 8.00, 31747128
741, 0, 16, 8.00, 31759068
741, 0, 16, 8.00, 31770936
740, -1, 16, 8.00, 31785516
739, -1, 16, 8.00, 31797440
739, 0, 16, 8.00, 31809364
740, 1, 16, 8.00, 31821288
739, -1, 16, 8.00, 31833168
739, 0, 16, 8.00, 31845156
739, 0, 16, 8.00, 31857088
738, -1, 16, 8.00, 31869100
738, 0, 16, 8.00, 31881100
